title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
The French Dispatch,2021,,107 min,Wes Anderson,7.1,"A collection of stories published in ""The French Dispatch Magazine"" comes to life in a fictional twentieth century French city.","Benicio Del Toro, Adrien Brody, Tilda Swinton"
Asteroid City,2023,,105 min,Wes Anderson,6.4,World-changing events spectacularly disrupt the annual Asteroid Day celebration in an American desert town.,"Jason Schwartzman, Scarlett Johansson, Tom Hanks"
Zoolander,2001,,90 min,Ben Stiller,6.5,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.","Ben Stiller, Owen Wilson, Christine Taylor"
Zoolander 2,2015,,101 min,Ben Stiller,4.7,"Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy.","Ben Stiller, Owen Wilson, Penélope Cruz"
Tropic Thunder,2008,,107 min,Ben Stiller,7.1,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.","Ben Stiller, Jack Black, Robert Downey Jr."
Zathura,2005,,101 min,Jon Favreau,6.3,Two young brothers are drawn into an intergalactic adventure when their house is hurled through the depths of space by the magical board game they are playing.,"Josh Hutcherson, Jonah Bobo, Dax Shepard"
Anchorman: The Legend of Ron Burgundy,2004,,94 min,Adam McKay,7.1,"In the 1970s, an anchorman's stint as San Diego's top-rated newsreader is challenged when an ambitious newswoman becomes his co-anchor.","Will Ferrell, Christina Applegate, Steve Carell"
Anchorman 2: The Legend Continues,2013,,119 min,Adam McKay,6.3,"With the 1970s behind him, Ron Burgundy, San Diego's former top-rated newsreader, returns to take New York City's first twenty-four-hour news channel by storm.","Will Ferrell, Christina Applegate, Paul Rudd"
Old School,2003,,88 min,Todd Phillips,7.0,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,"Luke Wilson, Vince Vaughn, Will Ferrell"
Elf,2003,,97 min,Jon Favreau,7.1,"A man raised by Santa's elves travels from the North Pole to New York City to meet his biological father, who doesn't know he exists and is in desperate need of some Christmas spirit.","Will Ferrell, James Caan, Bob Newhart"
Talladega Nights,2006,,108 min,Adam McKay,6.6,"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion ar...","Will Ferrell, John C. Reilly, Sacha Baron Cohen"
Stepbrothers,2008,,N/A,N/A,N/A,"On learning that his son, Richard, has got himself heavily into debt and is leading a reckless life, Richard Bedloe, Sr., disinherits him and makes his will over in favor of his stepson. A cabaret dancer is induced by her husband ...",N/A
The Other Guys,2010,,107 min,Adam McKay,6.7,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.","Will Ferrell, Mark Wahlberg, Derek Jeter"
Bruno,2009,,108 min,Shirley MacLaine,6.0,"Bruno is a unique young boy genius, whose expression of his own individuality leads his family and community along an emotional journey.","Alex D. Linz, Shirley MacLaine, Gary Sinise"
Borat,2006,,84 min,Larry Charles,7.4,Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world.,"Sacha Baron Cohen, Ken Davitian, Luenell"
The Dictator,2012,,83 min,Larry Charles,6.5,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.,"Sacha Baron Cohen, Anna Faris, John C. Reilly"
I'm Still Here,2010,,137 min,Walter Salles,8.2,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.,"Fernanda Torres, Fernanda Montenegro, Selton Mello"
The Interview,2014,,112 min,"Evan Goldberg, Seth Rogen",6.5,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Jong-Un Kim, they are recruited by the CIA to assassinate him.","James Franco, Seth Rogen, Randall Park"
This Is the End,2013,,107 min,"Evan Goldberg, Seth Rogen",6.6,"Six Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves.","James Franco, Jonah Hill, Seth Rogen"
The Heat,2013,,117 min,Paul Feig,6.6,An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.,"Sandra Bullock, Michael McDonald, Melissa McCarthy"
Central Intelligence,2016,,107 min,Rawson Marshall Thurber,6.3,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.","Dwayne Johnson, Kevin Hart, Danielle Nicolet"
Ride Along,2014,,99 min,Tim Story,6.1,"Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.","Ice Cube, Kevin Hart, Tika Sumpter"
Think Like a Man,2012,,122 min,Tim Story,6.5,Four friends conspire to turn the tables on their women when they discover the ladies have been using Steve Harvey's relationship advice against them.,"Chris Brown, Gabrielle Union, Kevin Hart"
Think Like a Man Too,2014,,106 min,Tim Story,5.7,"All the couples are back for a wedding in Las Vegas, but plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event.","Kevin Hart, Gabrielle Union, Wendi McLendon-Covey"
Made of Honor,2008,,101 min,Paul Weiland,5.8,"Hannah surprises Tom, her best friend who is secretly in love with her, with the news of her engagement to a wealthy man. Things take a complicated turn when she asks Tom to be her main attendant.","Patrick Dempsey, Michelle Monaghan, Kevin McKidd"
27 Dresses,2008,,111 min,Anne Fletcher,6.1,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.","Katherine Heigl, James Marsden, Malin Akerman"
Failure to Launch,2006,,97 min,Tom Dey,5.7,A thirty-something is still living with his parents until they hire an interventionist to help him graduate out of the house. That's when the fun begins.,"Matthew McConaughey, Sarah Jessica Parker, Kathy Bates"
The Proposal,2009,,108 min,Anne Fletcher,6.8,"When New York editor Margaret faces deportation, she convinces her assistant Andrew to marry her in return for a promotion. However, when she visits his hometown, it changes her in many ways.","Sandra Bullock, Ryan Reynolds, Mary Steenburgen"
Maid in Manhattan,2002,,105 min,Wayne Wang,5.4,"A Senatorial candidate falls for a hotel maid, thinking she is a socialite, when he sees her trying on a wealthy woman's dress.","Jennifer Lopez, Ralph Fiennes, Natasha Richardson"
Just Married,2003,,95 min,Shawn Levy,5.5,"A young newlywed couple honeymoon in Europe, where obstacles challenge their ability to sustain the marriage.","Ashton Kutcher, Brittany Murphy, Christian Kane"
Overboard,1987,,112 min,Garry Marshall,6.9,"A cruel but beautiful heiress mocks and cheats a hired carpenter. When she gets amnesia after an accident, he decides to introduce her to regular life by convincing her that they're husband and wife.","Goldie Hawn, Kurt Russell, Edward Herrmann"
Romancing the Stone,1984,,106 min,Robert Zemeckis,6.9,"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue.","Michael Douglas, Kathleen Turner, Danny DeVito"
Jewel of the Nile,1985,,106 min,Lewis Teague,6.1,"When Joan Wilder is abducted while on a trip along the Nile, her boyfriend, Jack Colton, and pal Ralph rush to rescue her and retrieve a fabled jewel.","Michael Douglas, Kathleen Turner, Danny DeVito"
Splash,1984,,111 min,Ron Howard,6.3,A young man is reunited with a mermaid he briefly encountered as a boy and falls in love with her without knowing her secret.,"Tom Hanks, Daryl Hannah, Eugene Levy"
Coming to America,1988,,117 min,John Landis,7.1,"An extremely pampered African prince travels to Queens, New York and goes undercover to find a wife that he can respect for her intelligence and strong will.","Eddie Murphy, Paul Bates, Garcelle Beauvais"
Coming 2 America,2021,,110 min,Craig Brewer,5.3,The African monarch Akeem learns he has a long-lost son in the United States and must return to America to meet this unexpected heir and build a relationship with his son.,"Eddie Murphy, Arsenio Hall, Shari Headley"
Trading Places,1983,,116 min,John Landis,7.5,A snobbish Wall Street commodities broker and a wily street hustler find their positions reversed as part of a bet by two callous millionaire brothers who run a brokerage house.,"Eddie Murphy, Dan Aykroyd, Ralph Bellamy"
48 Hrs.,1982,,96 min,Walter Hill,6.9,A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer.,"Nick Nolte, Eddie Murphy, Annette O'Toole"
Another 48 Hrs.,1990,,95 min,Walter Hill,5.9,"Jack Cates once again enlists the aid of ex-con Reggie Hammond - this time to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area.","Eddie Murphy, Nick Nolte, Brion James"
Beverly Hills Cop,1984,,105 min,Martin Brest,7.4,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,"Eddie Murphy, Judge Reinhold, John Ashton"
Beverly Hills Cop II,1987,,103 min,Tony Scott,6.6,"Axel Foley returns to Beverly Hills to help Taggart and Rosewood investigate Chief Bogomil's near-fatal shooting and the series of ""alphabet crimes"" associated with it.","Eddie Murphy, Judge Reinhold, Jürgen Prochnow"
Beverly Hills Cop III,1994,,104 min,John Landis,5.5,"Axel Foley, while investigating a car theft ring, comes across something much bigger than that: the same men who killed his boss are running a counterfeit money ring out of a theme park in Los Angeles.","Eddie Murphy, Jon Tenney, Joey Travolta"
Rush Hour,1998,,98 min,Brett Ratner,7.0,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way.","Jackie Chan, Chris Tucker, Ken Leung"
Rush Hour 2,2001,,90 min,Brett Ratner,6.7,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.","Jackie Chan, Chris Tucker, John Lone"
Rush Hour 3,2007,,91 min,Brett Ratner,6.2,"After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.","Jackie Chan, Chris Tucker, Max von Sydow"
Police Story,1985,,100 min,Jackie Chan,7.5,A virtuous Hong Kong Police Officer must clear his good name when the drug lord he is after frames him for the murder of a dirty cop.,"Jackie Chan, Maggie Cheung, Brigitte Lin"
Police Story 2,1988,,101 min,Jackie Chan,7.1,"The Hong Kong supercop must stop a group of blackmailing bombers, while the villains of Police Story (1985) are out for revenge.","Jackie Chan, Maggie Cheung, Kwok-Hung Lam"
Police Story 3: Supercop,1992,,N/A,N/A,N/A,N/A,N/A
Ferris Bueller's Day Off,1986,,103 min,John Hughes,7.8,"A brash, cocky high school senior, tired of skipping school to spend a boring day at home, is determined to enjoy an epic day roaring around his favorite Chicago sites, enlisting his best friend and girlfriend to join him on the a...","Matthew Broderick, Alan Ruck, Mia Sara"
Home Alone,1990,,103 min,Chris Columbus,7.8,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.","Macaulay Culkin, Joe Pesci, Daniel Stern"
Home Alone 2,1992,,14 min,James N. Kienitz Wilkins,5.1,A sovereign woman is lost in New York.,"Jessica Carlsen, Mark Anthony Hackett"
Matilda,1996,,98 min,Danny DeVito,7.0,A girl gifted with a keen intellect and psychic powers uses both to get even with her callous family and free her kindly schoolteacher from the tyrannical grip of a sadistic headmistress.,"Danny DeVito, Rhea Perlman, Mara Wilson"
Mrs. Doubtfire,1993,,125 min,Chris Columbus,7.1,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.","Robin Williams, Sally Field, Pierce Brosnan"
The Witches,1990,,91 min,Nicolas Roeg,6.8,"A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse.","Anjelica Huston, Mai Zetterling, Jasen Fisher"
Jumanji,1995,,104 min,Joe Johnston,7.1,A magic board game summons jungle perils and a missing boy.,"Robin Williams, Kirsten Dunst, Bonnie Hunt"
Jumanji: Welcome to the Jungle,2017,,119 min,Jake Kasdan,6.9,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","Dwayne Johnson, Karen Gillan, Kevin Hart"
Jumanji: The Next Level,2019,,123 min,Jake Kasdan,6.6,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most danger...","Dwayne Johnson, Jack Black, Kevin Hart"
Gremlins,1984,,106 min,Joe Dante,7.3,"After receiving an exotic small animal as a Christmas gift, a young man inadvertently breaks three important rules concerning his new pet, which unleashes a horde of malevolently mischievous creatures on a small town.","Zach Galligan, Phoebe Cates, Hoyt Axton"
Gremlins 2: The New Batch,1990,,106 min,Joe Dante,6.5,"The Gremlins are back, and this time, they've taken control of a New York City media mogul's high-tech skyscraper.","Zach Galligan, Phoebe Cates, Howie Mandel"
Snow White and the Seven Dwarfs,1937,,83 min,"William Cottrell, David Hand, Wilfred Jackson",7.6,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","Adriana Caselotti, Harry Stockwell, Lucille La Verne"
Cinderella,1950,,105 min,Kenneth Branagh,6.9,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.","Lily James, Cate Blanchett, Richard Madden"
Sleeping Beauty,1959,,75 min,"Les Clark, Clyde Geronimi, Eric Larson",7.2,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.","Mary Costa, Bill Shirley, Eleanor Audley"
The Little Mermaid,1989,,83 min,"Ron Clements, John Musker",7.6,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,"Jodi Benson, Samuel E. Wright, Rene Auberjonois"
Beauty and the Beast,1991,,84 min,"Gary Trousdale, Kirk Wise",8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"Paige O'Hara, Robby Benson, Jesse Corti"
Aladdin,1992,,90 min,"Ron Clements, John Musker",8.0,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Scott Weinger, Robin Williams, Linda Larkin"
The Lion King,1994,,88 min,"Roger Allers, Rob Minkoff",8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Matthew Broderick, Jeremy Irons, James Earl Jones"
Pocahontas,1995,,81 min,"Mike Gabriel, Eric Goldberg",6.7,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"Mel Gibson, Linda Hunt, Christian Bale"
Hunchback of Notre Dame,1996,,91 min,"Gary Trousdale, Kirk Wise",7.0,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.","Demi Moore, Jason Alexander, Mary Kay Bergman"
Hercules,1997,,93 min,"Ron Clements, John Musker",7.3,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,"Tate Donovan, Susan Egan, James Woods"
Mulan,1998,,87 min,"Tony Bancroft, Barry Cook",7.7,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","Ming-Na Wen, Eddie Murphy, BD Wong"
Tarzan,1999,,88 min,"Chris Buck, Kevin Lima",7.3,A man raised by gorillas must decide where he really belongs when he discovers he is a human.,"Tony Goldwyn, Minnie Driver, Brian Blessed"
The Emperor's New Groove,2000,,78 min,Mark Dindal,7.4,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne and his human form with the help of Pacha, a gentle llama herder.","David Spade, John Goodman, Eartha Kitt"
Atlantis: The Lost Empire,2001,,95 min,"Gary Trousdale, Kirk Wise",6.9,A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,"Michael J. Fox, Jim Varney, Corey Burton"
Lilo & Stitch,2002,,85 min,"Dean DeBlois, Chris Sanders",7.4,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a m...","Daveigh Chase, Chris Sanders, Tia Carrere"
Treasure Planet,2002,,95 min,"Ron Clements, John Musker",7.2,"Jim Hawkins is a teenager who finds the map of a great treasure hidden by a space pirate. Together with some friends, he sets off in a large spaceship, shaped like a caravel, on his quest.","Joseph Gordon-Levitt, Emma Thompson, Martin Short"
Brother Bear,2003,,85 min,"Aaron Blaise, Robert Walker",6.9,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.","Joaquin Phoenix, Jeremy Suarez, Rick Moranis"
Home on the Range,2004,,76 min,"Will Finn, John Sanford",5.4,"To save their farm, the resident animals go bounty hunting for a notorious outlaw.","Judi Dench, Cuba Gooding Jr., G.W. Bailey"
Meet the Robinsons,2007,,95 min,Stephen J. Anderson,6.8,"Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.","Daniel Hansen, Wesley Singerman, Angela Bassett"
Bolt,2008,,96 min,"Byron Howard, Chris Williams",6.8,The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,"John Travolta, Miley Cyrus, Susie Essman"
The Princess and the Frog,2009,,97 min,"Ron Clements, John Musker",7.2,"A waitress desperate to fulfill her dreams as a restaurant owner is set on a journey to turn a frog prince back into a human, but she has to face the same problem after she kisses him.","Anika Noni Rose, Keith David, Oprah Winfrey"
Tangled,2010,,100 min,"Nathan Greno, Byron Howard",7.7,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","Mandy Moore, Zachary Levi, Donna Murphy"
Wreck-It Ralph,2012,,101 min,Rich Moore,7.7,Ralph is tired of playing the role of a bad guy and embarks on a journey to become a video game hero. But he accidentally lets loose a deadly enemy that threatens the entire arcade.,"John C. Reilly, Jack McBrayer, Jane Lynch"
Frozen,2013,,102 min,"Chris Buck, Jennifer Lee",7.4,"Fearless optimist Anna teams up with rugged mountain man Kristoff and his loyal reindeer Sven in an epic journey to find Anna's sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter.","Kristen Bell, Idina Menzel, Jonathan Groff"
Big Hero 6,2014,,102 min,"Don Hall, Chris Williams",7.8,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.","Ryan Potter, Scott Adsit, Jamie Chung"
Moana,2016,,107 min,"Ron Clements, John Musker, Don Hall",7.6,"In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right.","Auli'i Cravalho, Dwayne Johnson, Rachel House"
Coco,2017,,105 min,"Lee Unkrich, Adrian Molina",8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
Raya and the Last Dragon,2021,,107 min,"Don Hall, Carlos López Estrada, Paul Briggs",7.3,"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.","Kelly Marie Tran, Awkwafina, Gemma Chan"
Encanto,2021,,102 min,"Jared Bush, Byron Howard, Charise Castro Smith",7.2,"An extraordinary family, the Madrigals, live hidden in the mountains of Colombia, in a magical house called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift - every child except one, Mi...","Stephanie Beatriz, María Cecilia Botero, John Leguizamo"
Turning Red,2022,,100 min,Domee Shi,6.9,"A thirteen-year-old girl named Mei Lee is torn between staying her mother's dutiful daughter and the changes of adolescence. And as if the challenges were not enough, whenever she gets overly excited Mei transforms into a giant re...","Rosalie Chiang, Sandra Oh, Ava Morse"
Wish,2023,,95 min,"Chris Buck, Fawn Veerasunthorn",5.6,A young girl wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,"Ariana DeBose, Chris Pine, Alan Tudyk"
Toy Story,1995,,81 min,John Lasseter,8.3,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.","Tom Hanks, Tim Allen, Don Rickles"
Toy Story 2,1999,,92 min,"John Lasseter, Ash Brannon, Lee Unkrich",7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","Tom Hanks, Tim Allen, Joan Cusack"
Toy Story 3,2010,,103 min,Lee Unkrich,8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Tom Hanks, Tim Allen, Joan Cusack"
Toy Story 4,2019,,100 min,Josh Cooley,7.6,"When Woody, Buzz, and the gang join Bonnie on a road trip with her new craft project turned toy, Forky, the innocent little spork's antics launch Woody on a wild quest.","Tom Hanks, Tim Allen, Annie Potts"
Finding Nemo,2003,,100 min,"Andrew Stanton, Lee Unkrich",8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Albert Brooks, Ellen DeGeneres, Alexander Gould"
Finding Dory,2016,,97 min,"Andrew Stanton, Angus MacLane",7.2,Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.,"Ellen DeGeneres, Albert Brooks, Ed O'Neill"
"Monsters, Inc.",2001,,92 min,"Pete Docter, David Silverman, Lee Unkrich",8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Billy Crystal, John Goodman, Mary Gibbs"
Monsters University,2013,,104 min,Dan Scanlon,7.2,"A look at the relationship between Mike Wazowski and James P. ""Sully"" Sullivan during their days at Monsters University, when they weren't necessarily the best of friends.","Billy Crystal, John Goodman, Steve Buscemi"
A Bug's Life,1998,,95 min,"John Lasseter, Andrew Stanton",7.2,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.","Kevin Spacey, Dave Foley, Julia Louis-Dreyfus"
Cars,2006,,116 min,"John Lasseter, Joe Ranft",7.3,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.","Owen Wilson, Bonnie Hunt, Paul Newman"
Cars 2,2011,,106 min,"John Lasseter, Bradford Lewis",6.2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international e...,"Owen Wilson, Larry the Cable Guy, Michael Caine"
Cars 3,2017,,102 min,Brian Fee,6.7,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,"Owen Wilson, Cristela Alonzo, Chris Cooper"
Up,2009,,96 min,"Pete Docter, Bob Peterson",8.3,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.","Edward Asner, Jordan Nagai, John Ratzenberger"
Wall-E,2008,,5 min,"Brian Bear, Cas van de Pol",N/A,N/A,"Pepijn Hikspoors, Joe Porter"
Inside Out,2015,,95 min,"Pete Docter, Ronnie Del Carmen",8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions, Joy, Fear, Anger, Disgust, and Sadness, conflict on how best to navigate a new city, house, and school.","Amy Poehler, Phyllis Smith, Richard Kind"
Inside Out 2,2024,,96 min,Kelsey Mann,7.5,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.","Amy Poehler, Maya Hawke, Kensington Tallman"
Soul,2020,,100 min,"Pete Docter, Kemp Powers",8.0,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.","Jamie Foxx, Tina Fey, Graham Norton"
Onward,2020,,102 min,Dan Scanlon,7.4,"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries.","Tom Holland, Chris Pratt, Julia Louis-Dreyfus"
Spirited Away,2001,,124 min,Hayao Miyazaki,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.","Miyu Irino, Rumi Hiiragi, Mari Natsuki"
Howl's Moving Castle,2004,,119 min,Hayao Miyazaki,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Chieko Baishô, Takuya Kimura, Tatsuya Gashûin"
Ponyo,2008,,101 min,Hayao Miyazaki,7.6,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.","Cate Blanchett, Matt Damon, Liam Neeson"
The Wind Rises,2013,,126 min,Hayao Miyazaki,7.8,"Jiro Horikoshi studies assiduously to fulfill his aim of becoming an aeronautical engineer. As WWII begins, fighter aircraft designed by him end up getting used by the Japanese Empire against its foes.","Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto"
My Neighbor Totoro,1988,,86 min,Hayao Miyazaki,8.1,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto"
Princess Mononoke,1997,,133 min,Hayao Miyazaki,8.3,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her h...","Yôji Matsuda, Yuriko Ishida, Yûko Tanaka"
Kiki's Delivery Service,1989,,103 min,Hayao Miyazaki,7.8,"Along with her black cat Jiji, Kiki settles in a seaside town and starts a high-flying delivery service. Here begins her magical encounter with independence and responsibility, making lifelong friends and finding her place in the ...","Minami Takayama, Rei Sakuma, Mieko Nobusawa"
Laputa: Castle in the Sky,1986,,N/A,Tim M. Sullivan,N/A,"ON THE THIRTIETH EPISODE OF THE BOMB SQUAD PODCAST: Ethan, Tim, and special guest Angie Hachiman discuss the 1986 Hayao Miyazaki film Laputa: Castle in the Sky. Does the film hold up against the rest of Miyazaki's filmography? Fin...","Ethan Halker, Tim M. Sullivan, Angie Hachiman"
Nausicaa of the Valley of the Wind,1984,,N/A,N/A,7.8,N/A,"Mark Hamill, Shia LaBeouf, Alison Lohman, Edward James Olmos"
Shrek,2001,,90 min,"Andrew Adamson, Vicky Jenson",7.9,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","Mike Myers, Eddie Murphy, Cameron Diaz"
Shrek 2,2004,,93 min,"Andrew Adamson, Kelly Asbury, Conrad Vernon",7.4,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.","Mike Myers, Eddie Murphy, Cameron Diaz"
Shrek the Third,2007,,93 min,"Chris Miller, Raman Hui",6.1,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.","Mike Myers, Cameron Diaz, Eddie Murphy"
Shrek Forever After,2010,,93 min,Mike Mitchell,6.3,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,"Mike Myers, Cameron Diaz, Eddie Murphy"
Puss in Boots,2011,,90 min,Chris Miller,6.6,"An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town.","Antonio Banderas, Salma Hayek, Zach Galifianakis"
