title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
Indiana Jones and the Last Crusade,1989,,127 min,Steven Spielberg,8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Harrison Ford, Sean Connery, Alison Doody"
Indiana Jones and the Kingdom of the Crystal Skull,2008,,122 min,Steven Spielberg,6.2,"In 1957, Indiana Jones is called back into action when he becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.","Harrison Ford, Cate Blanchett, Shia LaBeouf"
National Treasure,2004,,131 min,Jon Turteltaub,6.9,A historian races to find the legendary Templar Treasure before a team of mercenaries.,"Nicolas Cage, Diane Kruger, Justin Bartha"
National Treasure: Book of Secrets,2007,,124 min,Jon Turteltaub,6.5,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,"Nicolas Cage, Diane Kruger, Justin Bartha"
The Mummy,1999,,124 min,Stephen Sommers,7.1,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.","Brendan Fraser, Rachel Weisz, John Hannah"
The Mummy Returns,2001,,130 min,Stephen Sommers,6.4,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.","Brendan Fraser, Rachel Weisz, John Hannah"
The Mummy: Tomb of the Dragon Emperor,2008,,112 min,Rob Cohen,5.2,"In the Far East, Alex O'Connell, the son of famed mummy fighters Rick and Evy O'Connell, unearths the mummy of the first Emperor of Qin -- a shape-shifting entity cursed by a witch centuries ago.","Brendan Fraser, Jet Li, Maria Bello"
King Kong,2005,,187 min,Peter Jackson,7.2,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.","Naomi Watts, Jack Black, Adrien Brody"
Godzilla,2014,,123 min,Gareth Edwards,6.4,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.","Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston"
Transformers,2007,,144 min,Michael Bay,7.1,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.","Shia LaBeouf, Megan Fox, Josh Duhamel"
